ID;Longitude;Latitude;kod.pocztowy;creationDate
286;50.970730;16.930998;55-040;04.12.2017
287;51.212883;17.372116;56-400;08.09.2020
288;51.207237;17.388573;56-400;15.10.2017
289;51.209305;17.389246;56-400;15.01.2018
290;51.500347;16.069324;59-100;24.08.2018
291;51.499954;16.042965;59-100;26.12.2020
292;51.508380;16.068554;59-100;06.06.2018
293;51.505300;16.075783;59-100;18.09.2020
294;51.511160;16.072777;59-101;15.02.2017
295;51.507454;16.069510;59-100;22.08.2019
296;51.503075;16.077856;59-100;12.02.2021
297;51.504670;16.072737;59-100;01.04.2017
298;51.504967;16.068933;59-100;17.12.2019
299;51.026604;17.157011;55-011;14.01.2020
300;50.828980;15.518621;58-580;27.09.2017
301;51.089294;16.891537;55-080;08.11.2017
302;50.341686;16.887487;57-540;27.09.2020
303;50.344917;16.872736;57-540;18.04.2018
304;51.195000;16.178000;59-220;08.01.2021
305;51.193000;16.177000;59-220;12.04.2018
306;51.204000;16.160000;59-220;17.01.2018
307;51.199000;16.155000;59-220;15.10.2018
308;51.201015;16.211664;59-220;23.10.2017
309;51.200000;16.146000;59-220;16.12.2017
310;51.198185;16.202410;59-220;21.04.2017
311;51.201510;16.183280;59-220;28.09.2020
312;51.204000;16.152000;59-220;13.01.2017
313;51.207123;16.189808;59-220;18.03.2020
314;51.199272;16.219082;59-220;21.12.2019
315;51.119180;15.288793;59-800;10.02.2019
316;51.118942;15.271364;59-800;07.08.2017
317;51.396553;16.199110;59-300;12.10.2018
318;51.380486;16.211077;59-300;28.05.2019
319;51.406570;16.206526;59-300;24.02.2020
320;51.407030;16.176930;59-300;30.08.2019
321;51.402350;16.192038;59-300;22.09.2019
322;51.392360;16.204504;59-300;21.06.2019
323;51.403767;16.170776;59-300;15.07.2019
324;50.878590;16.580856;58-124;30.08.2017
325;50.578964;16.501642;57-400;02.07.2020
326;50.940460;17.297050;55-200;25.09.2017
327;50.942898;17.300116;55-200;25.01.2019
328;50.941055;17.299988;55-200;12.04.2020
329;50.681840;16.753130;58-240;10.07.2018
330;51.308000;17.065000;55-100;04.09.2019
331;51.129000;17.152000;51-361;17.12.2018
332;51.336470;16.645596;56-100;28.04.2019
333;51.122433;16.995584;54-232;21.08.2019
334;51.184450;17.028430;51-180;20.09.2018
335;51.050987;17.003117;52-200;25.07.2018
336;50.404167;16.512415;57-320;10.01.2021
337;50.406000;16.511000;57-320;14.10.2017
338;51.272495;16.365220;59-230;19.12.2019
339;51.032440;17.148880;55-011;13.02.2018
