business_key,business_id,status,effective_from,effective_till,city
7607911,1523,S,'2018-01-22 16:54:26.678','2020-02-10 03:27:17.926',Warsaw
9176705,1523,S,'2020-02-10 03:27:17.926',,Cracow
7607882,1526,T,'2018-01-23 21:47:53.437','2018-06-14 10:03:19.510',Chicago
7721533,1526,E,'2018-06-14 10:03:19.510','2018-06-28 10:07:17.123',Chicago
7607873,1527,T,'2018-01-24 15:56:27.326','2018-06-14 10:03:19.438',Orlando
7721531,1527,E,'2018-06-14 10:03:19.438','2018-06-28 10:07:17.054',Chicago
7743928,1527,F,'2018-06-28 10:07:17.054','2018-06-28 10:48:23.469',Warsaw
7744474,1527,F,'2018-06-28 10:48:23.469','2020-02-10 03:27:25.932',Orlando
9176740,1527,F,'2020-02-10 03:27:25.932',,Orlando
7744334,1528,F,'2018-06-28 10:48:20.154','2020-02-10 03:27:27.765',Warsaw
9176748,1528,F,'2020-02-10 03:27:27.765',,
7721238,1529,E,'2018-06-14 10:03:08.270','2018-06-28 10:07:03.124',Warsaw
7743528,1529,F,'2018-06-28 10:07:03.124','2018-06-28 10:48:17.039',Orlando
9176756,1529,F,'2020-02-10 03:27:29.707',,Chicago
7607840,1531,T,'2018-01-26 21:02:24.090','2018-05-03 15:48:18.681',Orlando
7658123,1531,F,'2018-05-03 15:48:18.681','2020-02-10 03:27:34.158',Chicago
9176773,1531,F,'2020-02-10 03:27:34.158',,Warsaw
7488607,1532,P,'2018-03-01 00:30:00.000','2018-04-19 20:50:57.887',Orlando
7607824,1533,T,'2018-01-27 17:55:40.910','2018-06-14 10:03:17.245',Chicago
9176790,1533,F,'2020-02-10 03:27:38.579',,Warsaw
7743869,1534,F,'2018-06-28 10:07:14.927','2018-06-28 10:48:11.874',Chicago
9176800,1534,F,'2020-02-10 03:27:40.851',,Warsaw
7607809,1535,F,'2018-01-28 20:59:34.533','2020-02-10 03:27:42.961',Chicago
9176809,1535,F,'2020-02-10 03:27:42.961',,Cracow
7607800,1536,F,'2018-01-29 02:00:31.150','2020-02-10 03:27:45.244',Chicago
9176816,1536,F,'2020-02-10 03:27:45.244',,Cracow
7682930,1539,E,'2018-05-25 16:50:21.542','2018-06-08 17:48:09.934',Orlando
9176839,1539,F,'2020-02-10 03:27:51.247',,Warsaw
7607767,1540,F,'2018-01-30 11:51:36.586','2020-02-10 03:27:53.360',Orlando
7607762,1541,F,'2018-01-30 15:44:36.216','2020-02-10 03:27:55.458',Cracow
9176858,1542,F,'2020-02-10 03:27:57.587',,Chicago
7607745,1543,T,'2018-02-01 15:03:10.209','2018-04-13 11:13:57.667',Orlando
7607737,1544,F,'2018-02-01 21:44:37.625','2020-02-10 03:28:02.070',Warsaw
7629895,1545,E,'2018-02-01 23:42:18.130','2018-04-12 15:01:41.002',Orlando
7641969,1545,F,'2018-04-12 15:01:41.002','2018-04-12 15:42:28.584',Chicago
9176861,1545,F,'2020-02-10 03:28:04.249',,Orlando
7721523,1546,E,'2018-06-14 10:03:19.149','2018-06-28 10:07:16.812',Chicago
9177000,1622,S,'2020-02-10 03:32:19.137',,Chicago
7743921,1546,F,'2018-06-28 10:07:16.812','2018-06-28 10:48:23.374',Cracow
7607716,1547,S,'2018-02-02 12:01:01.106','2020-02-10 03:28:08.160',Orlando
9176863,1547,S,'2020-02-10 03:28:08.160',,Cracow
7611544,1549,F,'2018-02-03 12:05:50.815','2020-02-10 03:28:12.336',Chicago
9176866,1549,F,'2020-02-10 03:28:12.336',,Orlando
7658157,1550,F,'2018-05-03 17:03:25.642','2020-02-10 03:28:14.458',Warsaw
9176868,1551,S,'2020-02-10 03:28:16.343',,Chicago
7607672,1552,T,'2018-02-05 04:24:29.202','2018-06-14 10:03:16.157',Chicago
7721445,1552,E,'2018-06-14 10:03:16.157','2018-06-28 10:07:14.387',Chicago
7743853,1552,F,'2018-06-28 10:07:14.387','2018-06-28 10:48:23.028',Orlando
7744456,1552,F,'2018-06-28 10:48:23.028','2020-02-10 03:28:18.422',Chicago
7721552,1553,E,'2018-06-14 10:03:20.255','2018-06-28 10:07:17.775',Cracow
7744495,1553,F,'2018-06-28 10:48:23.956','2020-02-10 03:28:20.671',Chicago
9176870,1553,F,'2020-02-10 03:28:20.671',,Orlando
7607654,1554,T,'2018-02-05 20:28:58.082','2018-06-14 10:03:14.263',Warsaw
7743809,1554,F,'2018-06-28 10:07:12.767','2018-06-28 10:48:22.062',Cracow
9176871,1554,F,'2020-02-10 03:28:22.982',,Warsaw
7607635,1556,T,'2018-02-06 11:02:02.275','2018-06-14 10:03:04.155',Warsaw
7721130,1556,E,'2018-06-14 10:03:04.155','2018-06-28 10:07:08.486',Chicago
9176873,1556,F,'2020-02-10 03:28:27.057',,Orlando
7721432,1558,E,'2018-06-14 10:03:15.638','2018-06-28 10:07:03.988',Chicago
7623941,1560,E,'2018-02-08 08:03:26.180','2018-04-04 13:42:27.966',Orlando
7634893,1560,F,'2018-04-04 13:42:27.966','2020-02-10 03:28:35.569',Warsaw
9176878,1560,F,'2020-02-10 03:28:35.569',,Orlando
7621280,1562,T,'2018-02-08 23:24:09.344','2018-06-14 10:03:14.694',Chicago
7744425,1562,F,'2018-06-28 10:48:22.284','2020-02-10 03:28:39.843',Warsaw
7630021,1563,T,'2018-02-09 01:30:29.431','2018-06-14 10:03:14.618',Warsaw
7721405,1563,E,'2018-06-14 10:03:14.618','2018-06-28 10:07:13.042',Warsaw
7608915,1580,F,'2018-02-15 09:30:26.265','2020-02-10 03:29:15.998',Chicago
7744423,1563,F,'2018-06-28 10:48:22.240','2020-02-10 03:28:41.974',Warsaw
9176881,1563,F,'2020-02-10 03:28:41.974',,Orlando
7607574,1564,S,'2018-02-09 11:18:54.271','2020-02-10 03:28:44.144',Warsaw
7607567,1565,S,'2018-02-09 12:07:07.077','2020-02-10 03:28:46.043',Chicago
9176885,1565,S,'2020-02-10 03:28:46.043',,Orlando
7607554,1566,F,'2018-02-09 19:17:31.893','2020-02-10 03:28:48.238',Chicago
9176887,1567,S,'2020-02-10 03:28:50.261',,Cracow
7607537,1568,S,'2018-02-10 17:58:02.892','2020-02-10 03:28:52.297',Chicago
7607520,1570,S,'2018-02-11 17:04:06.319','2020-02-10 03:28:56.492',Cracow
9176892,1571,F,'2020-02-10 03:28:58.586',,Cracow
7721550,1572,E,'2018-06-14 10:03:20.183','2018-06-28 10:07:17.703',Chicago
7743947,1572,F,'2018-06-28 10:07:17.703','2018-06-28 10:48:23.911',
7744493,1572,F,'2018-06-28 10:48:23.911','2020-02-10 03:29:00.835',
9176893,1572,F,'2020-02-10 03:29:00.835',,Warsaw
7753328,1574,L,'2018-07-03 10:04:19.051','2018-07-03 17:40:57.036',Chicago
9176895,1574,L,'2020-02-10 03:29:05.425','2020-08-01 02:00:00.000',Warsaw
9661150,1574,R,'2020-08-01 02:00:00.000',,Orlando
7607476,1575,S,'2018-02-13 00:37:07.810','2018-05-27 08:50:00.872',Orlando
7721128,1575,E,'2018-06-14 10:03:04.030','2018-06-28 10:07:08.377',Chicago
9176896,1575,F,'2020-02-10 03:29:07.635',,Chicago
7809972,1576,O,'2018-09-07 15:20:39.204','2018-10-13 01:00:00.044',Orlando
7899932,1576,L,'2018-11-13 01:00:00.000','2020-02-03 03:28:56.635',Orlando
9127152,1576,L,'2020-02-03 03:28:56.635','2020-08-01 02:00:00.000',Chicago
9661151,1576,R,'2020-08-01 02:00:00.000',,Warsaw
9176897,1577,S,'2020-02-10 03:29:09.767',,Warsaw
9176898,1578,S,'2020-02-10 03:29:11.919',,Orlando
7607444,1579,T,'2018-02-14 18:26:34.618','2018-06-14 10:03:18.433',Chicago
7743903,1579,F,'2018-06-28 10:07:16.132','2018-06-28 10:48:13.520',Warsaw
7744058,1579,F,'2018-06-28 10:48:13.520','2020-02-10 03:29:13.767',Chicago
9176900,1579,F,'2020-02-10 03:29:13.767',,Orlando
9176901,1580,F,'2020-02-10 03:29:15.998',,Warsaw
7607432,1581,T,'2018-02-15 21:38:33.587','2018-06-14 10:03:00.287',Chicago
7721029,1581,E,'2018-06-14 10:03:00.287','2018-06-28 10:06:58.829',Warsaw
7743406,1581,F,'2018-06-28 10:06:58.829','2018-06-28 10:48:11.589',Orlando
7743976,1581,F,'2018-06-28 10:48:11.589','2020-02-10 03:29:18.137',Chicago
7743900,1582,F,'2018-06-28 10:07:16.020','2018-06-28 10:48:13.314',Cracow
7721503,1583,E,'2018-06-14 10:03:18.311','2018-06-28 10:07:15.977',Cracow
7744048,1583,F,'2018-06-28 10:48:13.291','2020-02-10 03:29:22.683',Warsaw
7721495,1584,E,'2018-06-14 10:03:18.008','2018-06-28 10:07:15.589',Warsaw
7743888,1584,F,'2018-06-28 10:07:15.589','2018-06-28 10:48:12.887',Chicago
9176905,1584,F,'2020-02-10 03:29:24.925',,Warsaw
7607395,1587,F,'2018-02-17 00:28:06.445','2020-02-10 03:29:31.272',Warsaw
7721271,1588,E,'2018-06-14 10:03:09.563','2018-06-28 10:07:04.404',Warsaw
7743565,1588,F,'2018-06-28 10:07:04.404','2018-06-28 10:48:18.142',Orlando
7744248,1588,F,'2018-06-28 10:48:18.142','2020-02-10 03:29:33.474',Orlando
7607379,1589,T,'2018-02-17 19:55:58.051','2018-05-18 11:49:52.320',Orlando
9176911,1589,F,'2020-02-10 03:29:35.415',,Chicago
7607372,1590,S,'2018-02-17 22:44:04.591','2020-02-10 03:29:37.399',Warsaw
9176912,1590,S,'2020-02-10 03:29:37.399',,Chicago
7640190,1591,F,'2018-04-10 19:55:10.943','2018-04-10 20:42:28.450',Chicago
7607340,1594,T,'2018-02-19 23:21:48.528','2018-06-14 10:03:17.279',Chicago
7721476,1594,E,'2018-06-14 10:03:17.279','2018-06-28 10:07:15.033',Chicago
7743996,1594,F,'2018-06-28 10:48:12.076','2020-02-10 03:29:45.807',Chicago
9176917,1594,F,'2020-02-10 03:29:45.807',,Warsaw
7855288,1595,L,'2018-10-15 01:00:00.044','2018-10-15 11:18:28.219',Chicago
7855781,1595,O,'2018-10-15 11:18:28.219','2018-10-25 14:13:00.970',Orlando
7872859,1595,O,'2018-10-25 17:10:05.949','2018-10-28 17:22:09.167',Warsaw
7913794,1595,O,'2018-11-21 13:08:39.870','2018-11-26 14:36:47.518',Chicago
7921368,1595,P,'2018-11-26 14:36:47.518','2018-12-19 12:06:10.228',Warsaw
7961258,1595,P,'2018-12-19 12:06:10.228','2018-12-22 11:17:06.993',Chicago
8090445,1595,O,'2019-01-29 15:57:24.527','2019-01-29 16:38:01.400',Chicago
8092576,1595,O,'2019-01-30 17:57:41.503','2019-01-31 13:41:34.636',Cracow
8094241,1595,L,'2019-01-31 13:41:34.636','2019-01-31 16:39:05.634',Warsaw
8147782,1595,P,'2019-02-28 12:47:45.359','2019-03-22 11:02:09.866',Orlando
8193619,1595,O,'2019-03-22 11:02:09.866','2019-03-29 01:00:00.080',Warsaw
8210634,1595,O,'2019-03-29 12:20:07.784','2019-09-04 16:29:16.938',Warsaw
8670555,1595,L,'2019-09-04 16:29:16.938','2020-03-09 16:51:05.003',Warsaw
9661152,1595,R,'2020-08-01 02:00:00.000',,Chicago
7607326,1596,T,'2018-02-20 20:20:41.183','2018-06-14 10:03:14.227',Warsaw
7721395,1596,E,'2018-06-14 10:03:14.227','2018-06-28 10:07:12.733',Orlando
7743808,1596,F,'2018-06-28 10:07:12.733','2018-06-28 10:48:22.040',Chicago
7744415,1596,F,'2018-06-28 10:48:22.040','2020-02-10 03:29:47.965',Cracow
