ID,Longitude,Latitude,kod.pocztowy,creationDate,year,geom,miasto,powiat,woj,dzielnica,sklep
113,51.096497,16.947586,54-435,2020-01-21,2020,"51.096497,16.947586",,,województwo dolnośląskie,Osiedle Muchobór Wielki,
114,51.05596,17.012524,52-204,2018-08-08,2018,"51.05596,17.012524",,,województwo dolnośląskie,Partynice,Mon Ami
115,51.11836,17.037266,50-258,2021-01-26,2021,"51.11836,17.037266",,,województwo dolnośląskie,Osiedle Nadodrze,
116,51.101753,17.042082,50-454,2019-08-14,2019,"51.101753,17.042082",,,województwo dolnośląskie,Przedmieście Oławskie,
117,51.108425,17.026562,50-075,2019-12-18,2019,"51.108425,17.026562",,,województwo dolnośląskie,Osiedle Stare Miasto,
118,51.108627,17.033716,50-123,2020-11-03,2020,"51.108627,17.033716",,,województwo dolnośląskie,Osiedle Stare Miasto,
119,51.146477,16.948462,54-107,2018-11-17,2018,"51.146477,16.948462",,,województwo dolnośląskie,Osiedle Maślice,
120,51.072815,17.088755,52-013,2017-02-03,2017,"51.072815,17.088755",,,województwo dolnośląskie,Księże Małe,
121,51.1,16.952,54-614,2021-02-26,2021,"51.1,16.952",,,województwo dolnośląskie,Osiedle Muchobór Wielki,
122,51.12008,17.011286,53-632,2020-09-26,2020,"51.12008,17.011286",,,województwo dolnośląskie,Szczepin,L-Tour
123,51.15713,14.995463,59-900,2020-08-01,2020,"51.15713,14.995463",Zgorzelec,powiat zgorzelecki,województwo dolnośląskie,,
124,51.09966,17.050573,50-452,2017-03-16,2017,"51.09966,17.050573",,,województwo dolnośląskie,Przedmieście Oławskie,
125,51.118515,17.004232,53-617,2019-07-31,2019,"51.118515,17.004232",,,województwo dolnośląskie,Szczepin,
126,51.15747,15.005284,59-900,2018-10-07,2018,"51.15747,15.005284",Zgorzelec,powiat zgorzelecki,województwo dolnośląskie,,
127,51.127285,16.964241,54-129,2017-01-10,2017,"51.127285,16.964241",,,województwo dolnośląskie,Gądów,Żabka
128,51.1465,17.071718,51-169,2019-06-18,2019,"51.1465,17.071718",,,województwo dolnośląskie,Osiedle Sołtysowice,
129,51.09131,17.016382,53-329,2017-12-13,2017,"51.09131,17.016382",,,województwo dolnośląskie,Powstańców Śląskich,
130,51.123375,16.990885,54-430,2018-07-28,2018,"51.123375,16.990885",,,województwo dolnośląskie,Popowice,
131,51.118572,17.028189,50-210,2017-06-25,2017,"51.118572,17.028189",,,województwo dolnośląskie,Osiedle Nadodrze,
132,51.10623,17.14419,51-511,2017-09-03,2017,"51.10623,17.14419",,,województwo dolnośląskie,Strachocin,
133,51.16311,16.895525,54-062,2017-11-10,2017,"51.16311,16.895525",,,województwo dolnośląskie,Osiedle Leśnica,
134,51.097836,17.04884,50-433,2018-01-28,2018,"51.097836,17.04884",,,województwo dolnośląskie,Przedmieście Oławskie,
135,51.098232,17.014534,53-521,2019-05-07,2019,"51.098232,17.014534",,,województwo dolnośląskie,Powstańców Śląskich,
136,51.101128,17.10464,51-644,2019-02-01,2019,"51.101128,17.10464",,,województwo dolnośląskie,Biskupin,
137,50.89503,15.727927,58-500,2018-11-04,2018,"50.89503,15.727927",,,województwo dolnośląskie,,
138,50.90055,15.73859,58-500,2018-09-24,2018,"50.90055,15.73859",,,województwo dolnośląskie,,
139,50.902096,15.735096,58-500,2019-06-03,2019,"50.902096,15.735096",,,województwo dolnośląskie,,
140,50.902905,15.738898,58-500,2019-03-06,2019,"50.902905,15.738898",,,województwo dolnośląskie,,
141,51.100674,17.042543,50-442,2017-02-20,2017,"51.100674,17.042543",,,województwo dolnośląskie,Przedmieście Oławskie,
142,51.161,16.874079,54-701,2018-07-25,2018,"51.161,16.874079",,,województwo dolnośląskie,Osiedle Leśnica,
143,51.098263,16.937275,54-620,2017-06-11,2017,"51.098263,16.937275",,,województwo dolnośląskie,Osiedle Muchobór Wielki,
144,51.11477,17.06725,50-346,2020-10-28,2020,"51.11477,17.06725",,,województwo dolnośląskie,Osiedle Plac Grunwaldzki,
145,51.111107,16.95935,54-432,2020-09-24,2020,"51.111107,16.95935",,,województwo dolnośląskie,Muchobór Mały,
146,51.122463,17.04404,50-301,2020-10-28,2020,"51.122463,17.04404",,,województwo dolnośląskie,Ołbin,
147,51.125454,17.056517,50-306,2020-08-20,2020,"51.125454,17.056517",,,województwo dolnośląskie,Ołbin,
